dataset,noniid,seed,method,accuracy,f1_score,ece
pneumoniamnist,severe,442,Abl:No ECE,0.7980769230769231,0.7384187482533303,0.18072330665129882
pneumoniamnist,severe,442,Abl:No Bonus,0.8141025641025641,0.7637844611528822,0.09051595666469675
pneumoniamnist,severe,442,Abl:No PoC,0.8397435897435898,0.8034967501385599,0.10731341288639948
dermamnist,mild,42,Centralized,0.7098703888334995,0.3250481363785071,0.056123202189372286
dermamnist,mild,42,Local-Weak,0.12362911266201396,0.03143617695525415,0.10777884262687307
dermamnist,mild,42,Local-Best,0.7068793619142573,0.2856848649606759,0.08626992859369736
dermamnist,mild,42,Local-Medium,0.7068793619142573,0.2856848649606759,0.08626992859369736
dermamnist,mild,42,Local-Strong,0.6590229312063809,0.23275336579896413,0.07366209639865878
dermamnist,mild,42,FedAvg,0.6520438683948155,0.18768877836103304,0.052101866881607284
dermamnist,mild,42,FedProx,0.6550348953140578,0.1258510906569159,0.05665403940266413
dermamnist,mild,42,FedMD,0.6729810568295115,0.2148890874612833,0.17210996235653028
dermamnist,mild,42,Ours,0.6729810568295115,0.1688617680426627,0.06443235480179224
dermamnist,mild,42,EqualWt-Ens,0.67098703888335,0.1628342534939085,0.11661189952020273
dermamnist,mild,42,Ours-Dropout,0.6530408773678963,0.11521739130434783,0.06736733793380374
dermamnist,mild,42,Abl:No CapMul,0.67098703888335,0.16268522150875092,0.07034082896450342
dermamnist,mild,42,Abl:No Conf,0.6729810568295115,0.16914321261398022,0.09011549310218299
dermamnist,mild,42,Abl:No ECE,0.6719840478564307,0.1685366659014061,0.06800144714705371
dermamnist,mild,42,Abl:No Bonus,0.6719840478564307,0.17337830079099853,0.09848164174991736
dermamnist,mild,42,Abl:No PoC,0.6620139581256231,0.13451511991657977,0.14290169440024159
dermamnist,mild,142,Centralized,0.7138584247258225,0.3718295772304776,0.10668417013594779
dermamnist,mild,142,Local-Weak,0.6520438683948155,0.11276834209845676,0.10127638706775866
dermamnist,mild,142,Local-Best,0.6660019940179461,0.21616386857663766,0.133821913721792
dermamnist,mild,142,Local-Medium,0.6520438683948155,0.11276834209845676,0.22589328573090012
dermamnist,mild,142,Local-Strong,0.6660019940179461,0.21616386857663766,0.133821913721792
dermamnist,mild,142,FedAvg,0.6560319042871385,0.15638592124064302,0.06774668530714238
dermamnist,mild,142,FedProx,0.6440677966101694,0.12243449878487929,0.03483118263935879
dermamnist,mild,142,FedMD,0.654037886340977,0.11775476222620816,0.11908238086244041
dermamnist,mild,142,Ours,0.6759720837487537,0.16655955822096064,0.10788544409296445
dermamnist,mild,142,EqualWt-Ens,0.6679960119641076,0.1509157509157509,0.16919720954338788
dermamnist,mild,142,Ours-Dropout,0.6520438683948155,0.11276834209845676,0.2549502592559826
dermamnist,mild,142,Abl:No CapMul,0.6729810568295115,0.16144863329157372,0.11719318454786166
dermamnist,mild,142,Abl:No Conf,0.67098703888335,0.1579006289773264,0.1275272117416975
dermamnist,mild,142,Abl:No ECE,0.6759720837487537,0.16601566668801096,0.11435766822676119
dermamnist,mild,142,Abl:No Bonus,0.6799601196410767,0.1710818969944219,0.08797741878187193
dermamnist,mild,142,Abl:No PoC,0.6520438683948155,0.11276834209845676,0.13258541646531433
dermamnist,mild,242,Centralized,0.7337986041874377,0.43327418919794897,0.03811143040062777
dermamnist,mild,242,Local-Weak,0.049850448654037885,0.0135666802333469,0.12131102414335591
dermamnist,mild,242,Local-Best,0.6959122632103689,0.37988113425758135,0.17695869940703557
dermamnist,mild,242,Local-Medium,0.6959122632103689,0.37988113425758135,0.17695869940703557
dermamnist,mild,242,Local-Strong,0.650049850448654,0.23723008473313584,0.10291921973585014
dermamnist,mild,242,FedAvg,0.6679960119641076,0.16450437317784258,0.032005994888031825
dermamnist,mild,242,FedProx,0.6650049850448654,0.1482354534986114,0.06832668194148026
dermamnist,mild,242,FedMD,0.6560319042871385,0.13062957357684174,0.20242588639497044
dermamnist,mild,242,Ours,0.6729810568295115,0.1554488342691608,0.0604130559464395
dermamnist,mild,242,EqualWt-Ens,0.6769690927218345,0.16134239592183516,0.11281212685947285
dermamnist,mild,242,Ours-Dropout,0.6480558325024925,0.11729410246483418,0.10853992736826865
dermamnist,mild,242,Abl:No CapMul,0.678963110667996,0.16522137542139018,0.048775729694490066
dermamnist,mild,242,Abl:No Conf,0.674975074775673,0.15861136103134205,0.06028388831337334
dermamnist,mild,242,Abl:No ECE,0.6699900299102692,0.15110467644118925,0.06795292825309017
dermamnist,mild,242,Abl:No Bonus,0.6719840478564307,0.15403288529582526,0.06388131378298384
dermamnist,mild,242,Abl:No PoC,0.7108673978065803,0.3425815811750524,0.030739531678668514
dermamnist,mild,342,Centralized,0.711864406779661,0.4202729989628256,0.02695815727218673
